2017-04-02 09:00:33 status unpacked perl-base:armhf 5.14.2-21+deb7u3
2017-04-02 09:00:33 status unpacked perl-base:armhf 5.14.2-21+deb7u3
2017-04-02 09:00:33 configure perl-base:armhf 5.14.2-21+deb7u3 5.14.2-21+deb7u3
2017-04-02 09:00:33 status unpacked perl-base:armhf 5.14.2-21+deb7u3
2017-04-02 09:00:33 status half-configured perl-base:armhf 5.14.2-21+deb7u3
2017-04-02 09:00:33 status installed perl-base:armhf 5.14.2-21+deb7u3
2017-04-02 09:00:33 startup archives install
2017-04-02 09:00:33 install mawk:armhf <none> 1.3.3-17
2017-04-02 09:00:33 status half-installed mawk:armhf 1.3.3-17
2017-04-02 09:00:33 status unpacked mawk:armhf 1.3.3-17
2017-04-02 09:00:33 status unpacked mawk:armhf 1.3.3-17
2017-04-02 09:00:33 configure mawk:armhf 1.3.3-17 1.3.3-17
2017-04-02 09:00:33 status unpacked mawk:armhf 1.3.3-17
2017-04-02 09:00:33 status half-configured mawk:armhf 1.3.3-17
2017-04-02 09:00:33 status installed mawk:armhf 1.3.3-17
2017-04-02 09:00:33 startup archives install
2017-04-02 09:00:33 install debconf:all <none> 1.5.49
2017-04-02 09:00:33 status half-installed debconf:all 1.5.49
2017-04-02 09:00:33 status unpacked debconf:all 1.5.49
2017-04-02 09:00:33 status unpacked debconf:all 1.5.49
2017-04-02 09:00:33 configure debconf:all 1.5.49 1.5.49
2017-04-02 09:00:33 status unpacked debconf:all 1.5.49
2017-04-02 09:00:33 status unpacked debconf:all 1.5.49
2017-04-02 09:00:33 status unpacked debconf:all 1.5.49
2017-04-02 09:00:33 status unpacked debconf:all 1.5.49
2017-04-02 09:00:33 status half-configured debconf:all 1.5.49
2017-04-02 09:00:34 status installed debconf:all 1.5.49
2017-04-02 09:00:35 startup archives unpack
2017-04-02 09:00:35 install libacl1:armhf <none> 2.2.51-8
2017-04-02 09:00:35 status half-installed libacl1:armhf 2.2.51-8
2017-04-02 09:00:35 status unpacked libacl1:armhf 2.2.51-8
2017-04-02 09:00:35 status unpacked libacl1:armhf 2.2.51-8
2017-04-02 09:00:35 install libattr1:armhf <none> 1:2.4.46-8
2017-04-02 09:00:35 status half-installed libattr1:armhf 1:2.4.46-8
2017-04-02 09:00:35 status unpacked libattr1:armhf 1:2.4.46-8
2017-04-02 09:00:35 status unpacked libattr1:armhf 1:2.4.46-8
2017-04-02 09:00:35 upgrade base-files:armhf 7.1wheezy11 7.1wheezy11
2017-04-02 09:00:35 status half-configured base-files:armhf 7.1wheezy11
2017-04-02 09:00:35 status unpacked base-files:armhf 7.1wheezy11
2017-04-02 09:00:35 status half-installed base-files:armhf 7.1wheezy11
2017-04-02 09:00:35 status half-installed base-files:armhf 7.1wheezy11
2017-04-02 09:00:35 status unpacked base-files:armhf 7.1wheezy11
